,MSE1,MSE2
AD_001_175,4.515713019149549e-05,0.005446638508442993
AD_001_185,6.0341570947316156e-05,0.0017291148741598347
AD_001_195,6.949184509005221e-05,0.007751981750266153
AD_001_205,9.532252181016896e-05,0.002381179892847902
AD_001_215,0.00010868926714450998,0.004123031886571755
AD_001_300,0.0002659128037807843,0.0012312611064491828
AD_001_500,0.0005404897002939907,0.0010949380743761627
AD_001_700,0.0006660974016720902,0.0011680575399155369
AD_001_900,0.0007762892480825392,0.00122650576066892
AD_003_25,4.297258567655551e-05,0.0006076775774944362
AD_003_35,4.744759675934052e-05,0.0002839756555319113
AD_003_45,6.569263166519901e-05,0.000950450384846496
AD_003_55,7.610674106622616e-05,0.0034549596739643323
AD_003_65,9.611820799560519e-05,0.014892092699891717
AD_003_75,0.00012209548122959222,0.015344434670529377
AD_003_85,0.0001453588252255533,0.006468483174109061
AD_003_95,0.00019926687462390618,0.0016435213308534505
AD_003_105,0.00023363109711872654,0.0031634670947334707
AD_003_115,0.00028937634926188785,0.002736094857228395
AD_003_125,0.0003278946378224691,0.001525435288522831
AD_003_135,0.000374246776619563,0.0010943042409266687
AD_003_145,0.000400887349618946,0.0010072057648124366
AD_003_155,0.00042780066733092787,0.0010312372925133251
AD_003_165,0.000444570622095056,0.0010625276623470949
AD_003_175,0.0004819964895261179,0.0010895939127563332
AD_003_185,0.0005081308385834146,0.0010513488133761986
AD_003_195,0.0005559920980991913,0.0010946146658691303
AD_003_205,0.000561645142495751,0.0011144899699886202
AD_003_215,0.0005740184535253705,0.0011261859037128262
AD_003_300,0.0007423957010234094,0.0011963599618971177
AD_003_500,0.0009566015561122223,0.0013243197146198202
AD_003_700,0.0010958562127763873,0.0013762065987540028
AD_003_900,0.0011971507427448566,0.0013986210088646174
