,MSE1,MSE2
PD_001_25,5.399692876356489e-05,0.00022924980838116217
PD_001_35,7.986122116948062e-05,0.00027181404845297795
PD_001_45,9.986167786024219e-05,0.0003320077994977737
PD_001_55,0.00012618054510250034,0.0007457215111883801
PD_001_65,0.00010380360793129966,0.00034737317713689537
PD_001_75,9.088531296811848e-05,0.0003273987231456789
PD_001_85,8.116159298459006e-05,0.0002504817652475202
PD_001_95,6.12359000359272e-05,0.00026011742533159067
PD_001_105,3.5549202776172326e-05,0.01601228651475342
PD_001_115,1.84899015933889e-05,0.00013849315111725272
PD_001_125,1.8850401402363643e-05,0.0005302719200046917
PD_001_135,1.4361249061235577e-05,0.0018213934580858832
PD_001_145,9.885647793268686e-06,0.00401522836319139
PD_001_155,6.674518782307166e-06,0.003585875238581841
PD_001_165,6.2974180987214555e-06,0.0030909826156968146
PD_001_175,6.359055453746562e-06,0.000365093374659742
PD_001_185,5.9998859463827975e-06,0.007997500949158886
PD_001_195,1.0087091306215994e-05,0.00894577056048484
PD_001_205,9.714474014844253e-06,0.0024703002040281125
PD_001_215,9.671393129501166e-06,0.0035861880715921364
PD_001_300,2.359264395783612e-05,0.007328558451551084
PD_001_500,0.00020334112515297197,0.0026936165860978467
PD_001_700,0.000380702739035598,0.0009392197355132039
PD_001_900,0.0004859444962585796,0.001042327015618936
PD_003_25,7.359876660846277e-05,0.0006335114232735523
PD_003_35,0.00011186981968655786,0.0004196087193308353
PD_003_45,0.00013894663265925358,0.0004706192468626087
PD_003_55,0.00015436538997705928,0.0009588389400631841
PD_003_65,0.0001699530788265224,0.0007363077356983129
PD_003_75,0.00014440595777097785,0.0010112661579605618
PD_003_85,0.0001437088147948454,0.001581732956834969
PD_003_95,0.00013028503565262815,0.0015851090374372758
PD_003_105,0.00010214490444827497,0.0015745466724279686
PD_003_115,8.891805864226592e-05,0.009717972606792066
PD_003_125,0.00011109987151413088,0.0031988277285558697
PD_003_135,0.00010720055094265486,0.0011936284416961607
PD_003_145,0.000103368968839695,0.003630442048508752
PD_003_155,0.00014026061039192506,0.00203897283850007
PD_003_165,0.00015428560577719194,0.0010833940874459434
PD_003_175,0.00017018193844271553,0.001289138622295832
PD_003_185,0.0001930369342158122,0.000965354085509778
PD_003_195,0.00024101489723819965,0.0012695461834539526
PD_003_205,0.0002684687269081623,0.0020404055452451944
PD_003_215,0.0002858850825036363,0.0008373728656148472
PD_003_300,0.0004633167532293926,0.0010135854694360042
PD_003_500,0.0006887069936684386,0.001160040700412485
PD_003_700,0.0008100493183096392,0.0012187002627615335
PD_003_900,0.0009246522685844624,0.0012828476727167943
