,MSE1,MSE2
DP_001_85,0.0001515074683935499,0.0007725922049074843
DP_001_95,0.00014607633502116196,0.0008508028140897996
DP_001_105,0.00012038920586892412,0.0008922960277866012
DP_001_115,0.00011427999926572115,0.0009492913562535127
DP_001_125,0.0001035746818990024,0.0006315452577495864
DP_001_135,9.642090914378696e-05,0.0008163040780315525
DP_001_145,8.595664081888053e-05,0.0009386995922182112
DP_001_155,8.454710022581559e-05,0.0009442581117694899
DP_001_165,9.184286021320169e-05,0.002777606530266054
DP_001_175,8.645556056769945e-05,0.0022766609642883907
DP_001_185,0.00010699123731590935,0.001072837025663902
DP_001_195,0.0001270467312124472,0.0019609139936972377
DP_001_205,0.0001233033717149963,0.001497374452483447
DP_001_215,0.00015385936990163786,0.0011808499764131197
DP_001_300,0.0003227470328507122,0.0009282435402660913
DP_001_500,0.0005364788954870891,0.001061774375384807
DP_001_700,0.0007027500882221423,0.0011807638474023632
DP_001_900,0.0007961486535478774,0.0012058958532833466
DP_003_25,0.00017651093944196124,0.0006975576330267182
DP_003_35,0.000232328579348653,0.0007214382272810718
DP_003_45,0.0002923309843412868,0.0008538937685702735
DP_003_55,0.0002885943685783749,0.0007928393406174434
DP_003_65,0.00032404017613109587,0.0007915108893224752
DP_003_75,0.00030770532347239814,0.0007884865310153156
DP_003_85,0.0003340006557410451,0.000804637475946531
DP_003_95,0.0003315800334823336,0.0007850063073988526
DP_003_105,0.0003206112134074462,0.0007636960550492428
DP_003_115,0.00032806954232046057,0.0008554109055484606
DP_003_125,0.0003394314048771864,0.0007696483413652547
DP_003_135,0.00035569238263351554,0.0009922599563315932
DP_003_145,0.0003923755274170331,0.0008248370601428121
DP_003_155,0.0004045164349132586,0.0008308982072759529
DP_003_165,0.00043237005067362747,0.0009119485229059468
DP_003_175,0.0004570226485159447,0.0009400219063992129
DP_003_185,0.0004911863375093706,0.000961909289282748
DP_003_195,0.0005331787745424322,0.0010113947666694472
DP_003_205,0.0005519191713819465,0.0011135308806459602
DP_003_215,0.0005642278251908331,0.00104564087191033
DP_003_300,0.0007248560478895584,0.0011843684309595644
DP_003_500,0.0009929163379166794,0.0013215380321984604
DP_003_700,0.0011357771556252281,0.0013720852009497181
DP_003_900,0.0012248971989908097,0.0014213395316957217
